latitude,longitude,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,nearest_station,nearest_station_distance,log_preds,preds,ID,True Price
40.73279,-73.98746,12,1,1406.0,0.02,2,164,372,0.019250605912546768,6.006785455135031,406.17554992851,5279925,140
40.71846,-73.98727,2,2,1017.0,0.05,1,0,372,0.012627363461949988,4.756132553128905,116.29528920158788,9311761,150
40.75393,-73.96611999999998,30,5,55.0,0.34,91,304,1452,0.010230896441708257,6.01000743915409,407.48635161638515,24497080,125
40.78626,-73.94295,6,0,-1.0,0.0,1,0,574,0.020953907511495888,4.832995257346707,125.58656193499066,9693821,200
40.82829,-73.94691,5,0,-1.0,0.0,2,363,774,0.008894460410841165,4.448683631378075,85.51430153569476,24139687,80
40.75274,-73.97026,30,3,1099.0,0.06,52,365,1452,0.00592734696135906,6.01000743915409,407.48635161638515,1145288,110
40.69332,-73.95023,7,4,596.0,0.13,1,0,919,0.013651429375707085,5.756262594533513,316.16448317236836,16403092,140
40.64745,-73.95606,3,58,50.0,0.77,1,364,83,0.009098801294688827,5.5486294915261025,256.8852511290864,1044731,96
40.72757,-73.98439,3,12,470.0,0.37,1,4,372,0.018169878590677542,4.816529175282083,123.53557549590255,16005448,55
40.64105,-73.91369,2,91,12.0,4.51,1,224,294,0.012139684880589462,5.995315300070579,401.5432706550561,21581879,84
40.8024,-73.93735,1,17,409.0,0.94,4,0,1557,0.021498018513345846,4.595559738699106,99.04355854763818,22658582,30
40.72812,-74.00191,4,51,67.0,0.62,1,172,372,0.01022903260332751,5.972612971765633,392.5300017047628,635114,225
40.78073,-73.94976,1,4,1309.0,0.08,1,0,574,0.019306493208250702,5.664342152635527,288.39819670525065,6156319,185
40.70367,-73.91063,1,3,281.0,0.28,1,365,342,0.01629533344243531,5.550395343669014,257.33927325026394,25208234,110
40.66003,-73.98567,3,73,20.0,1.34,1,120,429,0.016236513172477183,6.018357270409028,410.90303841936344,4860650,150
40.76852,-73.96245,30,0,-1.0,0.0,65,346,452,0.013128089160276775,5.837625215185864,342.9639073299187,27299174,395
40.69449,-73.99727,2,72,24.0,1.62,1,231,573,0.01163796520015195,5.5486294915261025,256.8852511290864,8272749,99
40.70499,-73.91304000000002,3,0,-1.0,0.0,1,0,342,0.018551957093542383,4.832995257346707,125.58656193499066,19701453,95
40.74763,-73.88468,2,46,17.0,2.29,5,168,1439,0.006759387546194634,5.999587879249491,403.26256637075966,21541423,95
40.65222,-73.95016,1,5,220.0,0.42,1,0,83,0.016506542490791906,5.059107640812075,157.4499517045882,22946348,35
40.74949,-73.98277,30,5,332.0,0.16,14,326,1452,0.00700335076943129,6.01000743915409,407.48635161638515,15083571,175
40.71578,-73.95879000000002,2,5,110.0,0.14,1,0,573,0.0323498747138063,5.62629899705721,277.6326944398066,13573790,150
40.69465,-73.96427,2,12,1.0,2.98,1,0,919,0.015204571154762309,5.08035253370202,160.83074419340733,32741043,50
40.69424,-73.92652,1,8,5.0,7.5,1,88,342,0.023131520745513726,6.002154280170242,404.29882895625354,35420482,89
40.67722,-73.96542,1,147,8.0,1.57,1,293,346,0.009242497173379556,5.5486294915261025,256.8852511290864,240800,55
40.68392,-73.93123,4,14,671.0,0.5,1,0,347,0.024820583897241292,5.648472249547643,283.85747101070586,16613219,175
40.70779,-73.92129,90,32,28.0,0.4,1,330,342,0.025677698728669603,6.002486697794962,404.4332473529365,568661,110
40.80577,-73.94708,2,11,746.0,0.25,2,263,574,0.017328460981868063,4.758839042513207,116.61046748820746,8192768,120
40.76355,-73.98914,4,148,3.0,3.69,1,129,1175,0.008107614322347077,6.0053095386783255,405.5765109245633,9451492,125
40.70103,-73.91901,2,5,344.0,0.41,2,0,342,0.019348799756064475,4.995819888020393,147.79407030998172,26386759,50
40.75957,-73.96802,1,1,1239.0,0.02,2,0,1452,0.011427150213436614,4.620801081731645,101.57536971923439,11062629,70
40.7139,-74.00621,1,0,-1.0,0.0,1,0,1666,0.0017089324152840576,4.824718837912453,124.55144431561527,8467950,150
40.71988,-73.98639,4,92,14.0,1.47,1,67,372,0.0136198732740098,6.016722640506243,410.2319126961442,813793,225
40.72418,-73.99978,5,3,90.0,0.46,1,63,372,0.006089030136235149,5.999587879249491,403.26256637075966,30103053,500
40.70056,-73.92161999999998,2,2,14.0,2.0,1,274,342,0.02116580005573754,6.002154280170242,404.29882895625354,35653330,230
40.66565,-73.99172,1,30,33.0,0.91,1,297,572,0.008991886398304522,5.5486294915261025,256.8852511290864,15522627,70
40.74218,-73.99963000000002,14,0,-1.0,0.0,1,0,1175,0.01923823302697333,4.832995257346707,125.58656193499066,6543581,350
40.68084,-73.84765,4,86,28.0,2.13,4,58,1130,0.014696425585835244,6.018357270409028,410.90303841936344,11496210,87
40.71013,-73.98822,14,0,-1.0,0.0,4,334,573,0.010472439734848028,4.442207208996722,84.9622643418767,31168781,35
40.68518,-73.93517,5,5,235.0,0.48,1,0,347,0.021159506256054474,5.664342152635527,288.39819670525065,27201540,150
40.70666,-73.9506,2,2,1546.0,0.03,1,0,919,0.02604065867062703,5.701093180031305,299.19429548653136,2710442,135
40.77064,-73.95124,3,11,16.0,1.56,1,49,452,0.01167113640568429,5.995315300070579,401.5432706550561,30020930,150
40.80442,-73.96361999999998,2,8,665.0,0.22,1,0,574,0.008605064787662417,4.756132553128905,116.29528920158788,13666116,90
40.7986,-73.96229,30,4,180.0,0.15,12,199,574,0.0026436641238973,6.029420976785045,415.47439040366856,12598446,275
40.83959,-73.78586999999997,7,0,-1.0,0.0,1,180,1797,0.057082798880245596,5.695731629084511,297.59444270685907,33945670,100
40.67801,-73.8459,2,51,2.0,2.22,1,295,1130,0.011676060337285155,5.995315300070579,401.5432706550561,20356797,110
40.73368,-74.00049,2,2,916.0,0.06,1,0,372,0.015599466272921919,4.745675073883262,115.0854704808253,16311527,100
40.65333,-73.96552,3,0,-1.0,0.0,3,0,83,0.009355649897252225,4.792982076302116,120.66065196267245,30231478,350
40.74651,-73.97868000000003,30,3,38.0,0.5,91,342,1452,0.005583955766297854,5.999587879249491,403.26256637075966,24497265,125
40.71713,-73.98541,2,3,8.0,2.05,1,13,372,0.014513916356381251,6.015848184285966,409.87333964939575,34668348,200
40.72179000000001,-73.9447,1,30,27.0,2.08,2,1,452,0.03832322566015077,5.626417905041276,277.66570914663026,24760489,61
40.70497,-74.00746,30,1,110.0,0.27,232,189,1669,0.007263038276091094,5.999587879249491,403.26256637075966,30006962,267
40.70451,-74.00671,1,0,-1.0,0.0,1,0,1669,0.007498466843297282,4.843496649188281,126.91234473038523,2158171,575
40.68426,-73.9451,2,18,36.0,1.8,3,356,347,0.011335494034230027,4.912910463789654,136.03476305743789,27078210,62
40.76412,-73.94800000000002,1,0,-1.0,0.0,1,0,452,0.007240043162840333,4.341144913672085,76.79541314319741,19801310,60
40.69164,-73.90576999999998,1,9,379.0,0.49,1,0,342,0.003353140617382425,5.092553964470499,162.80513005568105,22117590,70
40.66704,-73.87525,3,4,113.0,0.43,13,85,989,0.014287057639695878,5.5486294915261025,256.8852511290864,28721911,117
40.67245,-73.97341,60,1,264.0,0.11,1,0,74,0.012504019353794218,5.665515317722595,288.7367339420042,22245314,92
40.59194,-73.8,1,44,7.0,4.57,1,155,1161,0.022889844669630104,5.550395343669014,257.33927325026394,28179447,50
40.74394,-73.99094000000002,30,0,-1.0,0.0,232,278,1175,0.012931642200430946,5.684434927945663,294.2515247501531,33577934,439
40.77363,-73.95154000000002,1,3,1043.0,0.09,1,0,452,0.014586761977900986,5.681413563135253,293.3638252551628,13491064,90
40.72577,-73.98745,5,166,42.0,1.68,2,365,372,0.014620364154156887,6.015848184285966,409.87333964939575,103806,249
40.69088,-73.92983000000002,3,11,25.0,2.73,4,164,292,0.025865887999473657,4.912910463789654,136.03476305743789,31125496,65
40.75093,-73.98096,30,1,1011.0,0.03,31,133,1452,0.004944447592980448,6.01000743915409,407.48635161638515,10015195,110
40.7425,-73.97704,3,1,188.0,0.16,1,0,1452,0.008986699171548065,5.6329452379118665,279.4840536709318,30283940,250
40.68786,-73.95019,5,10,65.0,0.49,1,3,347,0.009194643277469257,4.912910463789654,136.03476305743789,9823085,65
40.68736,-73.93826999999997,2,13,15.0,5.34,1,278,347,0.018814886260640342,6.018357270409028,410.90303841936344,33046604,400
40.76615,-73.98829,1,73,8.0,2.96,3,342,1175,0.01037379438778245,4.758839042513207,116.61046748820746,19502079,99
40.85055,-73.90189000000002,2,25,4.0,3.66,1,92,1511,0.025739567206944515,6.002486697794962,404.4332473529365,30712164,69
40.73284,-73.95919,3,4,315.0,0.22,1,0,1452,0.02509146233284,4.985267233178745,146.24265069318008,22048368,37
40.74035,-73.91663,7,0,-1.0,0.0,1,0,1439,0.026059157699378208,4.974031130138183,144.60865029052417,23665341,60
40.69071,-73.97057,30,38,707.0,0.63,2,5,74,0.008888470059579833,5.999587879249491,403.26256637075966,3095119,200
40.80843,-73.93722,1,134,25.0,2.69,3,211,1557,0.01546819317179724,4.758839042513207,116.61046748820746,5519207,80
40.81056,-73.943,2,322,7.0,4.71,1,258,1557,0.01483453066328621,6.018357270409028,410.90303841936344,1914231,140
40.71366,-73.99153000000003,1,2,351.0,0.1,4,249,372,0.009463913989445656,5.999587879249491,403.26256637075966,19908261,320
40.69791,-73.85158,2,16,22.0,1.24,3,330,989,0.024836079722852143,5.550395343669014,257.33927325026394,26076877,40
40.7214,-73.97787,2,3,396.0,0.21,2,0,372,0.022269067066231798,4.756132553128905,116.29528920158788,22690429,85
40.77614000000001,-73.91324,2,2,618.0,0.1,1,0,1439,0.0365413324880444,5.053750815775723,156.6087748913346,20188527,75
40.77084,-73.94955999999998,30,0,-1.0,0.0,1,0,452,0.012266337065328255,4.792982076302116,120.66065196267245,21951184,130
40.68771,-73.92281,2,73,17.0,4.95,1,219,292,0.01822670793094754,6.018357270409028,410.90303841936344,24515524,145
40.72925,-73.98459,3,12,16.0,1.26,1,0,372,0.018938114161663702,5.642369906862164,282.13054993985276,28816970,150
40.66508,-73.98974,2,14,393.0,0.6,1,0,572,0.010532139431282906,5.620234876557401,275.95419079393014,3095477,200
40.72005,-73.98911,4,78,23.0,2.07,1,26,372,0.010958343305451706,5.999587879249491,403.26256637075966,11659242,129
40.81554000000001,-73.94144,2,12,2.0,0.81,1,4,1557,0.00970857868072517,4.758839042513207,116.61046748820746,23990829,39
40.6769,-73.9513,2,0,-1.0,0.0,1,0,347,0.005844154772073374,4.914742204255348,136.28417179397272,2380403,75
40.69406,-73.93321,2,1,197.0,0.15,1,0,347,0.026321245886162536,4.748879055195836,115.45479351370221,30937306,30
40.69267,-73.9218,5,1,571.0,0.05,1,0,342,0.018178595985399563,5.681017510589331,293.24766077042733,21979387,70
40.82414,-73.95139,2,3,2.0,3.0,2,68,774,0.01448028956892999,4.758839042513207,116.61046748820746,25683408,65
